Longitude,Latitude
-123.121691,49.278345
-123.121619,49.278298
-123.121624,49.278263
-123.121628,49.278227
-123.121633,49.278192
-123.121637,49.278156
-123.121503,49.278116
-123.121289,49.278011
-123.121359,49.27808
-123.121452,49.278152
-123.121553,49.278225
-123.12157,49.278245
-123.121564,49.278255
-123.121541,49.278252
-123.121509,49.27825
-123.121399,49.278217
-123.121337,49.278185
-123.121297,49.278177
-123.121249,49.27817
-123.121193,49.278164
-123.121145,49.278138
-123.121078,49.27815
-123.121086,49.278132
-123.121128,49.278126
-123.12118,49.278089
-123.121234,49.278048
-123.121263,49.277976
-123.121331,49.277894
-123.121387,49.277834
-123.121427,49.277783
-123.121453,49.277713
-123.121469,49.277625
-123.121607,49.277628
-123.121647,49.27759
-123.121696,49.277554
-123.121722,49.277525
-123.121736,49.277482
-123.121826,49.277501
-123.121856,49.277479
-123.121913,49.277446
-123.121965,49.277396
-123.121998,49.27737
-123.122019,49.277338
-123.122054,49.277288
-123.12209,49.277236
-123.122104,49.277215
-123.122111,49.277213
-123.122118,49.27721
-123.122125,49.277208
-123.122132,49.277206
-123.122163,49.277175
-123.12216,49.277157
-123.122216,49.277091
-123.122307,49.277049
-123.12241,49.277026
-123.122516,49.276968
-123.122616,49.276912
-123.122704,49.276861
-123.122798,49.276811
-123.122872,49.276744
-123.122982,49.276713
-123.123114,49.276697
-123.12314,49.276635
-123.123214,49.276578
-123.123293,49.276524
-123.123337,49.276497
-123.123404,49.27645
-123.123484,49.276396
-123.123552,49.276352
-123.123624,49.276304
-123.123706,49.276256
-123.123763,49.276217
-123.123833,49.27617
-123.12389,49.276132
-123.123961,49.276084
-123.124031,49.27604
-123.124093,49.276006
-123.124159,49.275967
-123.124281,49.27592
-123.124384,49.275886
-123.124481,49.275865
-123.124565,49.275831
-123.124654,49.275766
-123.124724,49.275728
-123.124801,49.275651
-123.124892,49.275579
-123.124974,49.275517
-123.125049,49.275463
-123.125084,49.275339
-123.125156,49.275283
-123.125225,49.275235
-123.125281,49.275198
-123.125348,49.27515
-123.12541,49.275108
-123.125467,49.275068
-123.125507,49.275042
-123.125544,49.275018
-123.125558,49.275009
-123.125562,49.275008
-123.125566,49.275006
-123.125578,49.275
-123.125584,49.274995
-123.12559,49.27499
-123.125597,49.274986
-123.125604,49.274982
-123.125611,49.274977
-123.125617,49.274973
-123.125624,49.274969
-123.125631,49.274964
-123.125638,49.27496
-123.125644,49.274956
-123.125651,49.274951
-123.125658,49.274947
-123.125665,49.274943
-123.125671,49.274938
-123.125678,49.274934
-123.125735,49.274902
-123.125803,49.274861
-123.125885,49.274835
-123.125935,49.274794
-123.126008,49.274752
-123.126087,49.274701
-123.12617,49.274644
-123.126235,49.274586
-123.126306,49.274523
-123.126373,49.274476
-123.126451,49.274424
-123.126527,49.274374
-123.126583,49.274335
-123.126664,49.274283
-123.126716,49.27425
-123.126775,49.274212
-123.126842,49.274168
-123.126899,49.274134
-123.126951,49.274104
-123.12698,49.274082
-123.127012,49.27406
-123.127066,49.274027
-123.127104,49.273999
-123.127139,49.273975
-123.127188,49.273946
-123.127207,49.273934
-123.127224,49.273925
-123.127212,49.273957
-123.127479,49.273966
-123.127524,49.273983
-123.127604,49.274106
-123.127698,49.274153
-123.127783,49.274205
-123.127865,49.274253
-123.127934,49.2743
-123.128021,49.274345
-123.128109,49.274385
-123.128192,49.274421
-123.128289,49.274453
-123.128378,49.274487
-123.128464,49.274519
-123.128543,49.274563
-123.128613,49.274619
-123.128688,49.274668
-123.128768,49.274719
-123.128848,49.274773
-123.128923,49.274827
-123.129008,49.274867
-123.129094,49.274908
-123.129121,49.274963
-123.129159,49.274993
-123.129224,49.275026
-123.129325,49.275065
-123.129422,49.275112
-123.129505,49.275165
-123.129668,49.275219
-123.129756,49.275258
-123.129829,49.275297
-123.129898,49.275352
-123.129963,49.275393
-123.130037,49.275438
-123.13009,49.27547
-123.13015,49.275514
-123.130214,49.275536
-123.130301,49.275553
-123.13037,49.275594
-123.130411,49.275629
-123.130461,49.275649
-123.130501,49.275672
-123.130515,49.275704
-123.130549,49.275722
-123.130563,49.275722
-123.130591,49.275746
-123.130605,49.275749
-123.130608,49.27575
-123.130612,49.275752
-123.130615,49.275753
-123.130619,49.275754
-123.130622,49.275755
-123.130626,49.275756
-123.13063,49.275757
-123.130633,49.275759
-123.130637,49.27576
-123.13064,49.275761
-123.130644,49.275762
-123.13065,49.27577
-123.130657,49.275779
-123.13067,49.275785
-123.130681,49.275791
-123.130684,49.275794
-123.13069,49.275795
-123.130693,49.2758
-123.130693,49.275808
-123.130707,49.275811
-123.130725,49.27581
-123.130741,49.275815
-123.130749,49.275827
-123.130752,49.275831
-123.130761,49.275837
-123.130767,49.275842
-123.130783,49.275852
-123.130802,49.275861
-123.130825,49.27587
-123.130841,49.275887
-123.130855,49.275895
-123.130869,49.275903
-123.130913,49.275912
-123.13095,49.275925
-123.130987,49.275942
-123.130995,49.275948
-123.131022,49.275969
-123.131032,49.275979
-123.131076,49.275994
-123.131138,49.276029
-123.131202,49.27607
-123.131271,49.276112
-123.131325,49.276155
-123.13139,49.276191
-123.131449,49.276231
-123.131506,49.276265
-123.131565,49.276301
-123.131618,49.276334
-123.131661,49.276374
-123.131702,49.276407
-123.131748,49.276438
-123.131782,49.276465
-123.131826,49.276484
-123.131868,49.276502
-123.131913,49.276531
-123.13193,49.27654
-123.131971,49.276562
-123.131982,49.276566
-123.132006,49.276577
-123.132018,49.276582
-123.132032,49.276602
-123.132039,49.276615
-123.132053,49.276617
-123.132066,49.27662
-123.132067,49.276615
-123.132065,49.276608
-123.132073,49.276605
-123.13208,49.276602
-123.132084,49.276603
-123.132088,49.276608
-123.132088,49.276608
-123.132093,49.276617
-123.132093,49.276617
-123.132093,49.276617
-123.132093,49.276617
-123.132192,49.27672
-123.132212,49.276747
-123.13224,49.276778
-123.132251,49.276788
-123.132281,49.276825
-123.132293,49.276841
-123.132321,49.276864
-123.132328,49.27687
-123.132327,49.27687
-123.132309,49.276894
-123.132304,49.276897
-123.132297,49.276902
-123.132292,49.276917
-123.132295,49.276916
-123.132298,49.276917
-123.132315,49.276905
-123.13233,49.276897
-123.132352,49.276892
-123.132357,49.276887
-123.13236,49.276894
-123.132376,49.276892
-123.132398,49.276892
-123.13245,49.276876
-123.132471,49.276869
-123.132513,49.27685
-123.132572,49.276824
-123.132632,49.276801
-123.132705,49.276772
-123.13277,49.276745
-123.132813,49.276705
-123.132902,49.276675
-123.133008,49.276667
-123.133104,49.276648
-123.133224,49.276628
-123.133315,49.276593
-123.13341,49.276567
-123.133508,49.276542
-123.133598,49.276508
-123.133688,49.276479
-123.133778,49.276452
-123.133869,49.276421
-123.133993,49.276442
-123.134085,49.276435
-123.134169,49.276416
-123.134261,49.276389
-123.134351,49.27636
-123.134455,49.276326
-123.134556,49.276292
-123.134664,49.276257
-123.134763,49.276225
-123.134864,49.276191
-123.134962,49.276158
-123.135067,49.276124
-123.135154,49.276094
-123.135253,49.276061
-123.135348,49.276032
-123.135436,49.275999
-123.135527,49.27597
-123.135613,49.275943
-123.135699,49.275915
-123.135776,49.275888
-123.135857,49.275862
-123.13594,49.275835
-123.136021,49.275807
-123.136094,49.27578
-123.136175,49.275755
-123.136249,49.275724
-123.136325,49.275695
-123.136407,49.275673
-123.136477,49.275651
-123.136555,49.275625
-123.136621,49.275602
-123.136707,49.275573
-123.136778,49.275551
-123.136865,49.275524
-123.136948,49.275497
-123.137024,49.275472
-123.13711,49.275444
-123.137202,49.275415
-123.137284,49.275389
-123.137353,49.275366
-123.13745,49.275332
-123.13757,49.275295
-123.137674,49.275263
-123.137788,49.275231
-123.137898,49.275196
-123.138009,49.275162
-123.138121,49.275126
-123.138234,49.275091
-123.13835,49.275055
-123.13847,49.275017
-123.138581,49.27498
-123.138703,49.274943
-123.138818,49.274907
-123.138938,49.274868
-123.139049,49.274831
-123.139157,49.274797
-123.139276,49.274757
-123.13939,49.274721
-123.139503,49.274682
-123.13962,49.274644
-123.13974,49.274611
-123.13987,49.274578
-123.139994,49.274544
-123.140117,49.27451
-123.140234,49.274469
-123.140352,49.274434
-123.140476,49.274396
-123.140586,49.274365
-123.140713,49.274325
-123.140831,49.274285
-123.140963,49.274245
-123.141082,49.274204
-123.141205,49.274164
-123.141321,49.274124
-123.141439,49.274081
-123.141573,49.274048
-123.141694,49.274013
-123.141819,49.27397
-123.141948,49.273948
